+Articles 	 articles/
+DVG 	 padya/DVG/
+KS ನಾರಾಯಣಾಚಾರ್ಯ 	 gadya/KS_nArAyaNAchArya/
+प्रार्थना-फलम् 	 gadya/prArthanA-phalam/
+ಅಧಿ-ಗಣೇಶಮ್ 	 gadya/ra_gaNesha/adhi-gaNesham/
+ಆಮನ್ತ್ರಣ 	 gadya/AmantraNa/
+ಕನ್ನಡ 	 
+ಕುಮ್ಭ-ಸಮ್ಭವೀಯಮ್ 	 padya/koppala-tOTa-gaNesha/kumbhasambhavIyam/
+ಕುವೆಂಪು 	 gIte/kuvempu/
+ಕುವೆಂಪು 	 padya/kuvempu/
+ಕೊಪ್ಪಲತೋಟ ಗಣೇಶ 	 padya/koppala-tOTa-gaNesha/
+ಗದ್ಯ 	 gadya/
+ಗೀತೆ 	 gIte/
+ಗೋವಿನ ಹಾಡು 	 gIte/gOvina_hADu/
+ಚಿತ್ರ-ಗೀತೆಗಳು 	 gIte/chitra-gItegaLu/
+ತುಷಾರ-ಮೀರಾ 	 gadya/tuShAra-mIrA/
+ನಾಗಮಂಗಲ-ಶಾಂತಾ 	 gadya/nAgamangala-shAntA/
+ನಾಮಪದ 	 vyAkaraNa/nAmapada/
+ಪಣ್ಡಿತನಾಥಾಚಾರ್ಯ 	 padya/paNDitanAthAchArya/
+ಪದ್ಯ 	 padya/
+ಪ್ರಕೀರ್ಣ 	 gadya/prakIrNa/
+ಪ್ರಕೀರ್ಣ 	 padya/prakIrNa/
+ರತ್ನನ್ ಪದಗೊಳು 	 gIte/rAjaratnam/ratnan_padagaLu/
+ವಿಶ್ಚಾಸ 	 gIte/vishvAsaH/
+ವಿಶ್ವವಾಣೀ 	 articles/saMskRta-vivAdaH/vishvavANI/
+ವ್ಯಾಕರಣ 	 vyAkaraNa/
+ಶತಕಗಳು 	 padya/shatakagaLu/
+ಶಾನ್ತಿಗ್ರಾಮ-ನರಸಿಂಹ-ಮೂರ್ತಿ 	 padya/shAnti-grAma-narasiMha-mUrti/
+ಹವ್ಯಕ-ಹಾಡು 	 gIte/havyaka-hADugaLu/
+ಹಳಗನ್ನಡ ವ್ಯಾಕರಣ ಪ್ರವೇಶಿಕೆ 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/
+ಹೆಗಡೆ-ಜನಾರ್ದನ 	 articles/saMskRta-vivAdaH/hegDe-janArdana/
+ಹೆಬ್ಬಳಲು-ರಾಘವೇನ್ದ್ರ 	 gadya/hebbaLalu-rAghavendra/
೦ 	 padya/DVG/kagga/0/
೦೦ 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/00/
೦೧ 	 padya/koppala-tOTa-gaNesha/kumbhasambhavIyam/01/
೦೧ ಪ್ರವೇಶ 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/01_pravEsha/
೦೨ ಹಳಗನ್ನಡ ವರ್ಣಮಾಲೆ 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/02_haLagannaDa_varNamAle/
೦೩ ಹಳಗನ್ನಡ ಶಬ್ದರಚನೆ 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/03_haLagannaDa_shabdarachane/
೦೪ ಸಂಧಿ - ಸಂಧಿಕಾರ್ಯ 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/04_saMdhi_-_saMdhikArya/
೦೫ ನಾಮಪದ ಪ್ರಕರಣ 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/05_nAmapada_prakaraNa/
೦೬ ಸಮಾಸ ಪ್ರಕರಣ 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/06_samAsa_prakaraNa/
೦೭ ತದ್ಧಿತಾಂತ ನಾಮಪದಗಳು 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/07_taddhitAMta_nAmapadagaLu/
೦೮ ಆಖ್ಯಾತ ಪ್ರಕರಣ 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/08_AkhyAta_prakaraNa/
೦೯ ಅವ್ಯಯಗಳ ವಿಚಾರ 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/09_avyayagaLa_vichAra/
೧೦ ಒಂದು ಪ್ರಯೋಗಪಾಠ 	 vyAkaraNa/Halagannada-Vyakarana-Praveshike_Venkatachala-Shastry/10_oMdu_prayOgapATha/
2016-05-12__82 - Special: Puṇyakōṭi 	 gIte/gOvina_hADu/2016-05-12__82_-_Special_PuNyakoTi/
Categories 	 categories/
Ganapaty 	 padya/shAnti-grAma-narasiMha-mUrti/Ganapaty/
Protect sanskrit - protect vernacular 	 articles/saMskRta-vivAdaH/protect_sanskrit_protect_vernacular/
Sanskrit-word-replacement-2017 	 articles/saMskRta-vivAdaH/sanskrit-word-replacement-2017/
Tags 	 tags/
अक्षरमाला 	 aksharamAlA/
सन्धि 	 vyAkaraNa/sandhi/
सूर्य-प्रकाश ಬಲಿಪಾಡ್ಯಮಿ 	 gadya/prakIrNa/sUrya-prakAsha_bali-pADyamI/
ಅಮ್ಮ 	 gadya/nAgamangala-shAntA/amma/
ಇಂತಿ ರಾಧೆ 	 gadya/ra_gaNesha/inti_rAdhe/
ಉದ್ಧಾರಕನ ಎರಡು ಮುಖಗಳು 	 gadya/tuShAra-mIrA/uddhArakana_eraDu/
ಕಗ್ಗ 	 padya/DVG/kagga/
ಕಗ್ಗದ ಕಥೆ 	 padya/DVG/kagga/kaggada_kathe/
ಕಾಯೌ ಶ್ರೀ ಗೌರಿ 	 gIte/kAyau_shrI-gauri/
ಕಾವ್ಯದಲ್ಲಿ ರಮಣ 	 gadya/prakIrNa/kAvyadalli_ramaNa/
ಕುಲಕರಣಿ-ನೀಲಕಣ್ಠಃ 	 gadya/kulakaraNi-nIlakaNThaH/
ಕುವೆಂಪು 	 gadya/ku-ve-puTTappa/
ಕೆ. ಎಸ್. ನರಸಿಂಹ ಸ್ವಾಮಿ 	 padya/narasiMha-svAmI/
ಕೆರೆ ಏರಿ 	 padya/shAnti-grAma-narasiMha-mUrti/kere_Eri/
ಕೋಶ ಓದುವ ಸುಖ 	 gadya/nAgamangala-shAntA/kosha-sukha/
ಕ್ರಿಯಾಪದ 	 vyAkaraNa/kriyApada/
ಗಣೇಶಪರಿವಾರ 	 gadya/maNTapa-prabhAkaropAdhyAyaH/gaNesha-parivAra/
ಗಾಂಧಿ 	 padya/shAnti-grAma-narasiMha-mUrti/gAndhi/
ಗೋರ್ಲನ ಗೋಳು 	 padya/shAnti-grAma-narasiMha-mUrti/gOrlana_gOLu/
ಡಿ.ವಿ.ಜಿ. ಅವರ ಭಾಷಾಶಿಲ್ಪ 	 articles/shashi_dvg-bhAShA-shilpa/
ತಬ್ಬಲಿಯು ನೀನಾದೆ ಮಗನೆ ಚಿತ್ರದಲ್ಲಿ 	 gIte/gOvina_hADu/tabbaliyu_nInAde_magane/
ತೂಗಿರೋ ಸ್ವಾಮಿಯಾ 	 padya/shAnti-grAma-narasiMha-mUrti/tUgirO_svAmiyA/
ತೇಜಸ್ವಿ-ಅನನ್ತಮೂರ್ತಿ 	 gadya/vyAmishra/tejasvi-anantamUrti/
ತೇಜಸ್ವಿ-ಪತ್ರಮ್ 	 gadya/ku-ve-puTTappa/tejasvi-patram/
ತೊಟ್ಟಲು-ಪೂಜೆ 	 gIte/havyaka-hADugaLu/toTTalu-hADu/
ದೂರಕೆ ದೂರಕೆ 	 gIte/kuvempu/dUrake_dUrake/
ದೃಷ್ಟಿ-ದಾನ 	 padya/paNDitanAthAchArya/dRShTi-dAna/
ನಡುಗನ್ನಡಪಾಠ 	 gIte/gOvina_hADu/naDu-gannaDa-pATha/
ನಮ್ಮ ಊರ ರಸಿಕರು 	 gadya/hebbaLalu-rAghavendra/namma_Ura_rasikaru/
ನಿಜಲಿಂಗಶತಕ 	 padya/shatakagaLu/nijalinga-shataka/
ನೀನಲ್ಲದೇ 	 padya/shAnti-grAma-narasiMha-mUrti/nInalladE/
ನೀವ್ ಅಲ್ಲವೇ 	 padya/narasiMha-svAmI/nIvallave/
ಪಂಡಿತ 	 padya/shAnti-grAma-narasiMha-mUrti/paNDita/
ಪನ್ನೀರುದಾನಿ 	 gadya/nAgamangala-shAntA/pannIru-dAni/
ಪಂಪಾಶತಕ 	 padya/shatakagaLu/pampA-shataka/
ಪು ತಿ ನರಸಿಂಹಾಚಾರ್ 	 padya/narasiMhAchAr/
ಪುಂಗ್ನೂರ ಮದುವೆ 	 padya/shAnti-grAma-narasiMha-mUrti/puNgnUra_maduve/
ಪ್ರಭೂಜಿ 	 padya/shAnti-grAma-narasiMha-mUrti/prabhUji/
ಪ್ರಾತಿಪದಿಕ 	 vyAkaraNa/prAtipadika/
ಬಲಿಪಾಡ್ಯಮಿ 	 gadya/kulakaraNi-nIlakaNThaH/bali-pADyamI/
ಭಾನಿಗೊಂದು ಎಲ್ಲೆ  	 gIte/chitra-gItegaLu/bhAnigondu_elle/
ಭಾನುಮತಿ 	 gadya/KS_nArAyaNAchArya/bhAnumati/
ಭಾಷಾರಾಜಕೀಯ-ನಿಷೇಧ 	 articles/saMskRta-vivAdaH/vishvavANI/bhAShA-rAjakIya-niShedha/
ಮಂಡಪ-ಪ್ರಭಾಕರೋಪಾಧ್ಯಾಯ 	 gadya/maNTapa-prabhAkaropAdhyAyaH/
ಮಾತೃದೇವೋ ಭವ 	 gadya/prakIrNa/mAtR-devo_bhava/
ಯಥೋಕ್ತಕಾರಿ - ತಿರುಮಳಿಶೈ 	 gadya/nAgamangala-shAntA/yathoktakArI_tirumAL-isai/
ಯಾರಿಗೂ ಹೇಳೋಣು ಬ್ಯಾಡ 	 padya/shAnti-grAma-narasiMha-mUrti/yArigU_hELONu_byADa/
ಯಾರು ತಿಳಿಯರು 	 gIte/chitra-gItegaLu/yAru_tiLiyaru/
ರಕ್ಷಾ ಶತಕ 	 padya/shatakagaLu/raxA-shataka/
ರಂಗವಲ್ಲೀ 	 padya/narasiMhAchAr/rangavallI/
ರತ್ನನ್ ಪ್ರಪಂಚ 	 gIte/rAjaratnam/ratnan_padagaLu/ratnan_prapancha/
ರಾ ಗಣೇಶ 	 gadya/ra_gaNesha/
ರಾಜರತ್ನಂ ಜಿ ಪಿ 	 gIte/rAjaratnam/
ರಾಜಾರಾಮನು 	 gIte/vishvAsaH/rAjA-rAmanu-rAjanu-alla/
ರಾವೀ ಪಾರ್‌ 	 gadya/nAgamangala-shAntA/rAvi-pAra/
ಲಂಗೋಟಿ ಮೆರವಣಿಗೆ 	 gadya/nAgamangala-shAntA/langoTi-meravaNige/
ವ್ಯಾಮಿಶ್ರ 	 gadya/vyAmishra/
ಶಿವ-ಪ್ರತಿಷ್ಠಾ ೧೯೦೯ 	 gadya/AmantraNa/shiva-pratiShThA_1909/
ಶ್ರೀನಿವಾಸ-ರಾಜು-ಸಾರ 	 gadya/ra_gaNesha/adhi-gaNesham/shrInivAsa-rAju-sAra/
ಶ್ರೀಶೈಲ-ಪ್ರವಾಸ 	 gadya/kulakaraNi-nIlakaNThaH/shrIshaila-pravAsa/
ಸತ್ಯನಾರಾಯಣಕಥಾ 	 padya/prakIrNa/satyanArAyaNa-kathA/
ಸಮಾಸ 	 vyAkaraNa/samAsa/
ಸಂಸ್ಕೃತ-ವಿವಾದಃ 	 articles/saMskRta-vivAdaH/
ಸಂಸ್ಕೃತ-ಶಬ್ದ-ತಿರಸ್ಕಾರ 	 articles/saMskRta-vivAdaH/hegDe-janArdana/saMskRta-shabda-tiraskAra/
ಸಂಸ್ಕೃತದ ಅನ್ನ 	 articles/saMskRta-vivAdaH/hegDe-janArdana/saMskRtada_anna/
ಸಿರಿಧವಾ ಮಾಧವಾ 	 padya/shAnti-grAma-narasiMha-mUrti/siridhavA_mAdhavA/
ಸೂಲಿಬೆಲೆ-ಚಕ್ರವರ್ತಿ-2023 	 gadya/ra_gaNesha/adhi-gaNesham/sUlibele-chakravarti-2023/
ಸೋಮಶೆಖರನಿನ್ದ ಶಶಿ-ಸ್ತುತಿ 	 gadya/ra_gaNesha/adhi-gaNesham/somashekharaninda-shashi-stuti/
ಸೋಮೇಶ್ವರಶತಕ 	 padya/shatakagaLu/someshvara-shataka/
ಹಿನ್ದುಸ್ಥಾನವು ಎನ್ದೂ ಮರೆಯದ 	 gIte/chitra-gItegaLu/hindustAnavu_endU_mareyada/
ಹೋದ್ರೆ ಹೋಗ್ಲಿ ಇನ್ನೊಂದು ಮದ್ವೆ 	 padya/shAnti-grAma-narasiMha-mUrti/hOdre_hOgli_innondu_madve/
